Entity,Code,Year,Annual CO₂ emissions (per capita),Renewables - % electricity,World regions according to OWID,time
Afghanistan,AFG,2022,0.26017997,84.33735,Asia,2023
Africa,,2022,0.99125665,23.30367,,2022
Albania,ALB,2022,1.8295882,100,Europe,2023
Algeria,DZA,2022,4.058238,0.77114993,Africa,2023
Angola,AGO,2022,0.56826746,75.02951,Africa,2023
Antigua and Barbuda,ATG,2022,6.6570635,5.5555553,North America,2023
Argentina,ARG,2022,4.4943867,28.727707,South America,2023
Armenia,ARM,2022,2.4869328,26.567844,Asia,2023
Aruba,ABW,2022,7.7116857,15.306123,North America,2023
Asia,,2022,4.5963426,24.678816,,2022
Australia,AUS,2022,14.669758,33.215137,Oceania,2023
Austria,AUT,2022,6.7833743,78.054474,Europe,2023
Azerbaijan,AZE,2022,3.9232905,6.3579817,Asia,2023
Bahamas,BHS,2022,6.041253,0,North America,2023
Bahrain,BHR,2022,23.249395,0.02813731,Asia,2023
Bangladesh,BGD,2022,0.67221403,1.3040495,Asia,2023
Barbados,BRB,2022,4.049638,7.3394494,North America,2023
Belarus,BLR,2022,6.473651,3.392025,Europe,2023
Belgium,BEL,2022,7.645034,25.759508,Europe,2023
Belize,BLZ,2022,1.5703343,80.64516,North America,2023
Benin,BEN,2022,0.4209725,1.7699115,Africa,2023
Bermuda,BMU,2022,7.733064,1.5873016,North America,2023
Bhutan,BTN,2022,2.0940826,100,Asia,2023
Bolivia,BOL,2022,1.8529397,35.013035,South America,2023
Bosnia and Herzegovina,BIH,2022,6.5412273,33.474323,Europe,2023
Botswana,BWA,2022,2.7031999,0.38022813,Africa,2023
Brazil,BRA,2022,2.3006458,87.3695,South America,2023
British Virgin Islands,VGB,2022,4.6322503,0,North America,2023
Brunei,BRN,2022,24.93428,0,Asia,2023
Bulgaria,BGR,2022,6.880554,19.056152,Europe,2023
Burkina Faso,BFA,2022,0.28317013,31.168833,Africa,2023
Burundi,BDI,2022,0.053095087,66.666664,Africa,2023
Cambodia,KHM,2022,1.1399201,50.737793,Asia,2023
Cameroon,CMR,2022,0.36354783,62.315273,Africa,2023
Canada,CAN,2022,14.18325,68.29379,North America,2023
Cape Verde,CPV,2022,1.067773,16.27907,Africa,2023
Central African Republic,CAF,2022,0.05306414,100,Africa,2023
Chad,TCD,2022,0.1628097,5.714286,Africa,2023
Chile,CHL,2022,4.2211823,52.95602,South America,2023
China,CHN,2022,7.9642863,30.175854,Asia,2023
Colombia,COL,2022,1.8998148,71.93991,South America,2023
Comoros,COM,2022,0.54054224,0,Africa,2023
Congo,COG,2022,1.344008,22.5,Africa,2023
Cook Islands,COK,2022,4.833661,50,Oceania,2023
Costa Rica,CRI,2022,1.5442005,100,North America,2023
Cote d'Ivoire,CIV,2022,0.44888434,31.02518,Africa,2023
Croatia,HRV,2022,4.506801,63.83427,Europe,2023
Cuba,CUB,2022,1.9785384,4.6600876,North America,2023
Cyprus,CYP,2022,5.4060793,16.730038,Europe,2023
Czechia,CZE,2022,8.910881,12.873179,Europe,2023
Democratic Republic of Congo,COD,2022,0.045222,100,Africa,2023
Denmark,DNK,2022,4.8165383,81.427345,Europe,2023
Djibouti,DJI,2022,0.4346689,0,Africa,2023
Dominica,DMA,2022,2.338145,23.529411,North America,2023
Dominican Republic,DOM,2022,2.7096004,14.206127,North America,2023
East Timor,TLS,2022,0.47418788,0,Asia,2023
Ecuador,ECU,2022,2.2734659,80.94946,South America,2023
Egypt,EGY,2022,2.4078562,11.9342785,Africa,2023
El Salvador,SLV,2022,1.2420064,91.02362,North America,2023
Equatorial Guinea,GNQ,2022,3.7846842,32.65306,Africa,2023
Eritrea,ERI,2022,0.18285842,2.631579,Africa,2023
Estonia,EST,2022,8.708426,31.685394,Europe,2023
Eswatini,SWZ,2022,0.8857859,93.103455,Africa,2023
Ethiopia,ETH,2022,0.12088373,99.93515,Africa,2023
Europe,,2022,6.991089,35.2302,,2022
European Union (27),,2022,6.1010814,38.850857,,2022
Faroe Islands,FRO,2022,14.618868,38.095238,Europe,2023
Fiji,FJI,2022,1.220064,59.615387,Oceania,2023
Finland,FIN,2022,6.5299063,53.374146,Europe,2023
France,FRA,2022,4.428381,24.310215,Europe,2023
French Polynesia,PYF,2022,3.1979072,32.857143,Oceania,2023
Gabon,GAB,2022,2.4003546,42.016804,Africa,2023
Gambia,GMB,2022,0.2797237,0,Africa,2023
Georgia,GEO,2022,3.0376284,76.210526,Asia,2023
Germany,DEU,2022,7.985512,44.30719,Europe,2023
Ghana,GHA,2022,0.61199135,34,Africa,2023
Greece,GRC,2022,5.5778756,43.479946,Europe,2023
Greenland,GRL,2022,10.490824,76.78571,North America,2023
Grenada,GRD,2022,2.744954,4,North America,2023
Guatemala,GTM,2022,1.070925,67.4772,North America,2023
Guinea,GIN,2022,0.29839432,66.44737,Africa,2023
Guinea-Bissau,GNB,2022,0.14682573,0,Africa,2023
Guyana,GUY,2022,4.4145913,1.754386,South America,2023
Haiti,HTI,2022,0.2939031,13.461539,North America,2023
High-income countries,,2022,10.325488,28.744667,,2022
Honduras,HND,2022,1.0016866,63.030807,North America,2023
Hong Kong,HKG,2022,4.223433,0.6399555,Asia,2023
Hungary,HUN,2022,4.6304326,21.420582,Europe,2023
Iceland,ISL,2022,9.499335,100,Europe,2023
India,IND,2022,1.9861934,20.499144,Asia,2023
Indonesia,IDN,2022,2.643443,19.610842,Asia,2023
Iran,IRN,2022,8.944466,2.714503,Asia,2023
Iraq,IRQ,2022,3.8864772,2.3444936,Asia,2023
Ireland,IRL,2022,7.1842065,38.832638,Europe,2023
Israel,ISR,2022,6.695069,9.945989,Asia,2023
Italy,ITA,2022,5.714146,35.80869,Europe,2023
Jamaica,JAM,2022,2.5137153,13.507625,North America,2023
Japan,JPN,2022,8.261654,21.956364,Asia,2023
Jordan,JOR,2022,1.7993976,22.862368,Asia,2023
Kazakhstan,KAZ,2022,12.698733,11.791542,Asia,2023
Kenya,KEN,2022,0.39440423,91.990295,Africa,2023
Kiribati,KIR,2022,0.5175543,0,Oceania,2023
Kosovo,OWID_KOS,2022,5.0596533,6.512301,Europe,2023
Kuwait,KWT,2022,21.235485,0.23140113,Asia,2023
Kyrgyzstan,KGZ,2022,1.4422635,85.92058,Asia,2023
Laos,LAO,2022,3.100422,72.99238,Asia,2023
Latvia,LVA,2022,3.5191457,75.7515,Europe,2023
Lebanon,LBN,2022,3.294004,9.452736,Asia,2023
Lesotho,LSO,2022,1.676462,100,Africa,2023
Liberia,LBR,2022,0.14741065,67.0886,Africa,2023
Libya,LBY,2022,7.9661736,0.033025097,Africa,2023
Lithuania,LTU,2022,4.5640817,75.24272,Europe,2023
Low-income countries,,2022,0.2686622,62.87297,,2022
Lower-middle-income countries,,2022,1.520896,22.567968,,2022
Luxembourg,LUX,2022,11.138139,85.59322,Europe,2023
Macao,MAC,2022,1.4720136,40.816326,Asia,2023
Madagascar,MDG,2022,0.14158471,36.864407,Africa,2023
Malawi,MWI,2022,0.08499348,94.07407,Africa,2023
Malaysia,MYS,2022,8.227235,19.101,Asia,2023
Maldives,MDV,2022,3.851092,7.058823,Asia,2023
Mali,MLI,2022,0.302889,39.733334,Africa,2023
Malta,MLT,2022,3.3579102,13.043479,Europe,2023
Mauritania,MRT,2022,0.9388735,30,Africa,2023
Mauritius,MUS,2022,3.0781853,19.373219,Africa,2023
Mexico,MEX,2022,3.6181042,24.048254,North America,2023
Moldova,MDA,2022,1.9046042,9.210526,Europe,2023
Mongolia,MNG,2022,12.821786,11.0256405,Asia,2023
Montenegro,MNE,2022,3.8892248,53.172207,Europe,2023
Montserrat,MSR,2022,4.761841,0,North America,2023
Morocco,MAR,2022,1.8619682,18.184013,Africa,2023
Mozambique,MOZ,2022,0.25593418,82.38696,Africa,2023
Myanmar,MMR,2022,0.54937565,49.386955,Asia,2023
Namibia,NAM,2022,1.4136043,96.296295,Africa,2023
