Entity,Code,Year,Primary energy consumption per GDP (kWh/$),time
Afghanistan,AFG,2021,0.47909042,2021
Albania,ALB,2021,1.1544633,2021
Algeria,DZA,2021,1.2224629,2021
Angola,AGO,2021,0.6255134,2021
Argentina,ARG,2021,1.1799017,2021
Armenia,ARM,2021,1.3991842,2021
Australia,AUS,2021,1.2254714,2021
Austria,AUT,2021,1.0689718,2021
Azerbaijan,AZE,2021,1.1788044,2021
Bahrain,BHR,2021,4.1796293,2021
Bangladesh,BGD,2021,0.60990393,2021
Barbados,BRB,2021,2.115273,2021
Belarus,BLR,2021,1.6586393,2021
Belgium,BEL,2021,1.5544246,2021
Benin,BEN,2021,1.0307585,2021
Bolivia,BOL,2021,1.1262906,2021
Bosnia and Herzegovina,BIH,2021,1.6615815,2021
Botswana,BWA,2021,0.6580191,2021
Brazil,BRA,2021,1.1527343,2021
Bulgaria,BGR,2021,1.6572999,2021
Burkina Faso,BFA,2021,0.5490167,2021
Burundi,BDI,2021,0.41185504,2021
Cambodia,KHM,2021,1.0791634,2021
Cameroon,CMR,2021,0.5416634,2021
Canada,CAN,2021,2.270094,2021
Cape Verde,CPV,2021,1.1802114,2021
Central African Republic,CAF,2021,0.41812867,2021
Chad,TCD,2021,0.26367846,2021
Chile,CHL,2021,1.0895623,2021
China,CHN,2021,1.6747899,2021
Colombia,COL,2021,0.8318487,2021
Comoros,COM,2021,0.81893516,2021
Congo,COG,2021,0.59479564,2021
Costa Rica,CRI,2021,0.80021256,2021
Cote d'Ivoire,CIV,2021,0.57218295,2021
Croatia,HRV,2021,1.022015,2021
Cuba,CUB,2021,1.2564327,2021
Cyprus,CYP,2021,0.9202343,2021
Czechia,CZE,2021,1.393382,2021
Democratic Republic of Congo,COD,2021,0.4600868,2021
Denmark,DNK,2021,0.65681565,2021
Djibouti,DJI,2021,0.94045514,2021
Dominica,DMA,2021,1.1989415,2021
Dominican Republic,DOM,2021,0.6095545,2021
Ecuador,ECU,2021,1.2515517,2021
Egypt,EGY,2021,0.75571316,2021
El Salvador,SLV,2021,0.7734156,2021
Equatorial Guinea,GNQ,2021,1.0362936,2021
Estonia,EST,2021,1.5152754,2021
Eswatini,SWZ,2021,0.73162735,2021
Ethiopia,ETH,2021,0.4162672,2021
Finland,FIN,2021,1.4473321,2021
France,FRA,2021,0.9957011,2021
Gabon,GAB,2021,0.5352007,2021
Gambia,GMB,2021,0.5538321,2021
Georgia,GEO,2021,1.2223655,2021
Germany,DEU,2021,0.92281765,2021
Ghana,GHA,2021,0.81172657,2021
Greece,GRC,2021,1.2142333,2021
Guatemala,GTM,2021,0.7154339,2021
Guinea,GIN,2021,0.7668018,2021
Guinea-Bissau,GNB,2021,0.446233,2021
Haiti,HTI,2021,0.66108185,2021
Honduras,HND,2021,1.0932351,2021
Hungary,HUN,2021,1.0405504,2021
Iceland,ISL,2021,4.029631,2021
India,IND,2021,0.9779074,2021
Indonesia,IDN,2021,0.6661503,2021
Iran,IRN,2021,2.1776516,2021
Iraq,IRQ,2021,1.2147655,2021
Ireland,IRL,2021,0.623857,2021
Israel,ISR,2021,0.9230999,2021
Italy,ITA,2021,0.85842705,2021
Jamaica,JAM,2021,1.7974273,2021
Japan,JPN,2021,1.0659342,2021
Jordan,JOR,2021,1.0591245,2021
Kazakhstan,KAZ,2021,1.6850152,2021
Kenya,KEN,2021,0.57291245,2021
Kuwait,KWT,2021,2.0954986,2021
Kyrgyzstan,KGZ,2021,2.0433462,2021
Laos,LAO,2021,2.6591358,2021
Latvia,LVA,2021,0.8481699,2021
Lebanon,LBN,2021,2.0743158,2021
Lesotho,LSO,2021,1.0332788,2021
Liberia,LBR,2021,1.3694327,2021
Libya,LBY,2021,1.8154355,2021
Lithuania,LTU,2021,0.84270895,2021
Luxembourg,LUX,2021,1.2146823,2021
Madagascar,MDG,2021,0.39626834,2021
Malawi,MWI,2021,0.3522481,2021
Malaysia,MYS,2021,1.5440493,2021
Mali,MLI,2021,0.8688916,2021
Malta,MLT,2021,2.2865543,2021
Mauritania,MRT,2021,1.257408,2021
Mauritius,MUS,2021,1.0281168,2021
Mexico,MEX,2021,1.1027566,2021
Moldova,MDA,2021,1.9419199,2021
Mongolia,MNG,2021,1.7583638,2021
Montenegro,MNE,2021,0.990547,2021
Morocco,MAR,2021,0.8731074,2021
Mozambique,MOZ,2021,2.3813598,2021
Myanmar,MMR,2021,0.5777262,2021
Namibia,NAM,2021,1.051518,2021
Nepal,NPL,2021,0.5313932,2021
