Entity,Code,Year,Renewables - % electricity,time
Afghanistan,AFG,2022,84.33735,2022
Albania,ALB,2022,100,2022
Algeria,DZA,2022,0.77114993,2022
Angola,AGO,2022,75.02951,2022
Antigua and Barbuda,ATG,2022,5.5555553,2022
Argentina,ARG,2022,28.727707,2022
Armenia,ARM,2022,26.567844,2022
Australia,AUS,2022,33.215137,2022
Austria,AUT,2022,78.054474,2022
Azerbaijan,AZE,2022,6.3579817,2022
Bahamas,BHS,2022,0,2022
Bahrain,BHR,2022,0.02813731,2022
Bangladesh,BGD,2022,1.3040495,2022
Barbados,BRB,2022,7.3394494,2022
Belarus,BLR,2022,3.392025,2022
Belgium,BEL,2022,25.759508,2022
Belize,BLZ,2022,80.64516,2022
Benin,BEN,2022,1.7699115,2022
Bhutan,BTN,2022,100,2022
Bolivia,BOL,2022,35.013035,2022
Bosnia and Herzegovina,BIH,2022,33.474323,2022
Botswana,BWA,2022,0.38022813,2022
Brazil,BRA,2022,87.3695,2022
Brunei,BRN,2022,0,2022
Bulgaria,BGR,2022,19.056152,2022
Burkina Faso,BFA,2022,31.168833,2022
Burundi,BDI,2022,66.666664,2022
Cambodia,KHM,2022,50.737793,2022
Cameroon,CMR,2022,62.315273,2022
Canada,CAN,2022,68.29379,2022
Cape Verde,CPV,2022,16.27907,2022
Central African Republic,CAF,2022,100,2022
Chad,TCD,2022,5.714286,2022
Chile,CHL,2022,52.95602,2022
China,CHN,2022,30.175854,2022
Colombia,COL,2022,71.93991,2022
Comoros,COM,2022,0,2022
Congo,COG,2022,22.5,2022
Costa Rica,CRI,2022,100,2022
Cote d'Ivoire,CIV,2022,31.02518,2022
Croatia,HRV,2022,63.83427,2022
Cuba,CUB,2022,4.6600876,2022
Cyprus,CYP,2022,16.730038,2022
Czechia,CZE,2022,12.873179,2022
Democratic Republic of Congo,COD,2022,100,2022
Denmark,DNK,2022,81.427345,2022
Djibouti,DJI,2022,0,2022
Dominica,DMA,2022,23.529411,2022
Dominican Republic,DOM,2022,14.206127,2022
East Timor,TLS,2022,0,2022
Ecuador,ECU,2022,80.94946,2022
Egypt,EGY,2022,11.9342785,2022
El Salvador,SLV,2022,91.02362,2022
Equatorial Guinea,GNQ,2022,32.65306,2022
Eritrea,ERI,2022,2.631579,2022
Estonia,EST,2022,31.685394,2022
Eswatini,SWZ,2022,93.103455,2022
Ethiopia,ETH,2022,99.93515,2022
Fiji,FJI,2022,59.615387,2022
Finland,FIN,2022,53.374146,2022
France,FRA,2022,24.310215,2022
French Guiana,,,69.30693,2021
Gabon,GAB,2022,42.016804,2022
Gambia,GMB,2022,0,2022
Georgia,GEO,2022,76.210526,2022
Germany,DEU,2022,44.30719,2022
Ghana,GHA,2022,34,2022
Greece,GRC,2022,43.479946,2022
Greenland,GRL,2022,76.78571,2022
Grenada,GRD,2022,4,2022
Guatemala,GTM,2022,67.4772,2022
Guinea,GIN,2022,66.44737,2022
Guinea-Bissau,GNB,2022,0,2022
Guyana,GUY,2022,1.754386,2022
Haiti,HTI,2022,13.461539,2022
Honduras,HND,2022,63.030807,2022
Hungary,HUN,2022,21.420582,2022
Iceland,ISL,2022,100,2022
India,IND,2022,20.499144,2022
Indonesia,IDN,2022,19.610842,2022
Iran,IRN,2022,2.714503,2022
Iraq,IRQ,2022,2.3444936,2022
Ireland,IRL,2022,38.832638,2022
Israel,ISR,2022,9.945989,2022
Italy,ITA,2022,35.80869,2022
Jamaica,JAM,2022,13.507625,2022
Japan,JPN,2022,21.956364,2022
Jordan,JOR,2022,22.862368,2022
Kazakhstan,KAZ,2022,11.791542,2022
Kenya,KEN,2022,91.990295,2022
Kiribati,KIR,2022,0,2022
Kosovo,OWID_KOS,2022,6.512301,2022
Kuwait,KWT,2022,0.23140113,2022
Kyrgyzstan,KGZ,2022,85.92058,2022
Laos,LAO,2022,72.99238,2022
Latvia,LVA,2022,75.7515,2022
Lebanon,LBN,2022,9.452736,2022
Lesotho,LSO,2022,100,2022
Liberia,LBR,2022,67.0886,2022
Libya,LBY,2022,0.033025097,2022
Lithuania,LTU,2022,75.24272,2022
Luxembourg,LUX,2022,85.59322,2022
Madagascar,MDG,2022,36.864407,2022
Malawi,MWI,2022,94.07407,2022
Malaysia,MYS,2022,19.101,2022
Maldives,MDV,2022,7.058823,2022
Mali,MLI,2022,39.733334,2022
Malta,MLT,2022,13.043479,2022
Mauritania,MRT,2022,30,2022
Mauritius,MUS,2022,19.373219,2022
Mexico,MEX,2022,24.048254,2022
Moldova,MDA,2022,9.210526,2022
Mongolia,MNG,2022,11.0256405,2022
Montenegro,MNE,2022,53.172207,2022
Morocco,MAR,2022,18.184013,2022
Mozambique,MOZ,2022,82.38696,2022
Myanmar,MMR,2022,49.386955,2022
Namibia,NAM,2022,96.296295,2022
Nauru,NRU,2022,0,2022
Nepal,NPL,2022,100,2022
Netherlands,NLD,2022,40.247757,2022
New Caledonia,NCL,2022,16.78832,2022
New Zealand,NZL,2022,86.78434,2022
Nicaragua,NIC,2022,68.604645,2022
Niger,NER,2022,6.329114,2022
Nigeria,NGA,2022,21.660357,2022
North Korea,PRK,2022,57.854576,2022
North Macedonia,MKD,2022,26.923079,2022
Norway,NOR,2022,98.65547,2022
Oman,OMN,2022,0.6271778,2022
Pakistan,PAK,2022,24.316145,2022
Palestine,PSE,2022,22.580645,2022
Panama,PAN,2022,78.21857,2022
Papua New Guinea,PNG,2022,25.05176,2022
Paraguay,PRY,2022,100,2022
Peru,PER,2022,61.363636,2022
Philippines,PHL,2022,21.829926,2022
Poland,POL,2022,21.080929,2022
Portugal,PRT,2022,59.62036,2022
Puerto Rico,PRI,2022,2.586653,2022
Qatar,QAT,2022,0.27752084,2022
Romania,ROU,2022,43.11826,2022
Russia,RUS,2022,17.57674,2022
Rwanda,RWA,2022,54.081627,2022
Saint Kitts and Nevis,KNA,2022,4.5454545,2022
Saint Lucia,LCA,2022,0,2022
Saint Vincent and the Grenadines,VCT,2022,23.529411,2022
Samoa,WSM,2022,31.578947,2022
Sao Tome and Principe,STP,2022,7.142857,2022
Saudi Arabia,SAU,2022,0.20916855,2022
Senegal,SEN,2022,25.773195,2022
Serbia,SRB,2022,29.318497,2022
Seychelles,SYC,2022,14.516129,2022
Sierra Leone,SLE,2022,95,2022
Singapore,SGP,2022,4.093465,2022
Slovakia,SVK,2022,21.929163,2022
Slovenia,SVN,2022,30.464075,2022
Solomon Islands,SLB,2022,0,2022
Somalia,SOM,2022,10.526316,2022
South Africa,ZAF,2022,9.785933,2022
South Korea,KOR,2022,8.255816,2022
South Sudan,SSD,2022,3.2258065,2022
Spain,ESP,2022,42.62759,2022
Sri Lanka,LKA,2022,37.05409,2022
Sudan,SDN,2022,62.430008,2022
Suriname,SUR,2022,48.32536,2022
Sweden,SWE,2022,68.3186,2022
Switzerland,CHE,2022,58.77629,2022
Syria,SYR,2022,4.626334,2022
Taiwan,TWN,2022,7.6522646,2022
Tajikistan,TJK,2022,89.36782,2022
Tanzania,TZA,2022,32.594234,2022
Thailand,THA,2022,15.780426,2022
Togo,TGO,2022,25,2022
Tonga,TON,2022,12.5,2022
Trinidad and Tobago,TTO,2022,0.10615711,2022
Tunisia,TUN,2022,3.0660377,2022
Turkey,TUR,2022,41.911034,2022
Turkmenistan,TKM,2022,0.043346338,2022
Uganda,UGA,2022,98.88683,2022
Ukraine,UKR,2022,16.094402,2022
United Arab Emirates,ARE,2022,4.5043297,2022
United Kingdom,GBR,2022,41.38428,2022
United States,USA,2022,22.350597,2022
Uruguay,URY,2022,90.97497,2022
Uzbekistan,UZB,2022,6.661316,2022
Vanuatu,VUT,2022,14.285714,2022
Venezuela,VEN,2022,77.69903,2022
Vietnam,VNM,2022,50.284634,2022
Western Sahara,,,,2022
Yemen,YEM,2022,20.338984,2022
Zambia,ZMB,2022,88.90601,2022
Zimbabwe,ZWE,2022,67.30123,2022
